property_id,location,city,state,latitude,longitude,area_sqft,bedrooms,bathrooms,floors,balcony_sqft,year_built,property_type,condition,parking_spaces,amenities_score,nearby_schools_km,nearby_hospital_km,nearby_metro_km,crime_rate,air_quality_index,market_trend_score,price
1,Morbi - Sector 11,Morbi,Gujarat,22.807876,70.838532,4432,5,3,2,80,2019,Farmhouse,New,2,2,1.21,2.59,1.44,1.76,128,83,13423199
2,Morbi - Sector 9,Morbi,Gujarat,22.819317,70.832098,3082,5,2,2,191,2020,Villa,New,2,7,2.72,3.7,0.77,2.87,67,68,9757627
3,Godhra - Sector 8,Godhra,Gujarat,22.794795,73.601976,4899,4,4,3,77,2016,Villa,Good,3,7,1.02,2.72,2.97,6.38,167,82,11036459
4,Gandhinagar - Sector 8,Gandhinagar,Gujarat,23.201068,72.648251,1781,2,4,2,107,2002,Farmhouse,Good,0,8,4.06,4.28,4.27,6.51,144,82,6895415
5,Porbandar - Sector 18,Porbandar,Gujarat,21.626051,69.617296,3368,3,3,3,20,2021,Villa,New,0,1,4.94,1.71,3.4,3.48,95,90,9925637
6,Bhavnagar - Sector 14,Bhavnagar,Gujarat,21.768436,72.171145,3439,4,3,3,101,2013,Villa,Good,2,4,2.02,1.61,1.18,8.08,168,91,10075255
7,Veraval - Sector 3,Veraval,Gujarat,20.90427,70.37258,4168,1,4,2,137,1991,Farmhouse,Needs Renovation,0,2,1.78,4.35,2.02,8.08,101,93,10366988
8,Mehsana - Sector 5,Mehsana,Gujarat,23.602234,72.380228,794,2,4,1,133,2024,Penthouse,New,0,10,2.09,4.09,1.59,8.37,141,72,2101124
9,Nadiad - Sector 12,Nadiad,Gujarat,22.673825,72.85301,2772,3,4,3,34,2023,Penthouse,New,0,6,4.84,0.96,3.62,2.17,96,61,9228959
10,Palanpur - Sector 1,Palanpur,Gujarat,24.169451,72.426348,2687,3,4,2,143,2017,Apartment,Good,2,10,2.53,2.28,2.63,7.51,87,54,7088169
11,Gandhinagar - Sector 8,Gandhinagar,Gujarat,23.199719,72.633603,834,1,2,1,57,2018,Villa,New,2,8,2.52,1.97,1.78,4.56,139,51,3393445
12,Ahmedabad - Sector 13,Ahmedabad,Gujarat,23.033689,72.555389,2982,1,4,1,73,2020,Row House,New,3,8,0.84,3.41,4.57,4.56,153,60,12624728
13,Junagadh - Sector 2,Junagadh,Gujarat,21.520471,70.459266,3121,1,4,1,131,2025,Apartment,New,3,3,2.59,4.29,0.91,7.58,170,84,8790883
14,Palanpur - Sector 7,Palanpur,Gujarat,24.163102,72.427914,4598,2,2,1,50,2002,Villa,Good,1,1,4.29,1.83,3.86,4.01,170,54,11934916
15,Dwarka - Sector 12,Dwarka,Gujarat,22.250511,68.98421,1232,3,2,1,88,1980,Penthouse,Needs Renovation,2,10,2.2,3.02,4.17,2.04,115,56,3346671
16,Junagadh - Sector 8,Junagadh,Gujarat,21.517427,70.442452,1386,4,3,3,99,2001,Villa,Good,0,7,3.02,2.55,4.2,6.98,156,56,4025928
17,Nadiad - Sector 14,Nadiad,Gujarat,22.682613,72.877523,3175,5,3,1,120,2021,Studio,New,2,4,3.75,1.75,2.95,4.65,182,94,9069117
18,Porbandar - Sector 5,Porbandar,Gujarat,21.650238,69.609861,2720,5,3,1,107,2013,Farmhouse,Good,3,9,4.55,3.36,3.63,6.04,148,55,7131226
