property_id,location,city,state,latitude,longitude,area_sqft,bedrooms,bathrooms,floor_number,total_floors,furnishing_status,property_type,balcony_sqft,parking_spaces,amenities_score,nearby_workplace_km,nearby_school_km,nearby_hospital_km,nearby_metro_km,crime_rate,air_quality_index,monthly_rent
P0001,Gandhinagar - central,Gandhinagar,Gujarat,23.198826,72.642256,855,2,2,1,1,Furnished,Independent House,33,0,4,2.78,4.09,0.46,4.97,41.6,72,10932
P0002,Morbi - central,Morbi,Gujarat,22.835864,70.856511,1112,3,3,2,8,Furnished,Apartment,32,1,1,9.72,5.86,5.46,39.06,44.3,128,5930
P0003,Valsad - central,Valsad,Gujarat,20.573884,72.942699,865,2,3,1,1,Unfurnished,Villa,61,1,1,10.04,1.38,3.68,28.46,47.5,67,5865
P0004,Jamnagar - central,Jamnagar,Gujarat,22.480026,70.051438,591,1,1,1,1,Unfurnished,Independent House,15,0,2,3.92,2.22,2.27,38.0,56.7,85,3661
P0005,Bharuch - central,Bharuch,Gujarat,21.698186,73.001653,871,3,4,7,12,Semi-Furnished,Apartment,104,1,3,9.12,6.9,1.7,10.6,46.3,73,6672
P0006,Bhavnagar - central,Bhavnagar,Gujarat,21.764961,72.128285,250,1,1,1,1,Unfurnished,Independent House,15,1,1,2.07,0.13,7.28,30.19,67.2,93,2000
P0007,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.229514,72.655861,633,2,3,1,11,Semi-Furnished,Apartment,43,1,3,11.83,6.47,2.55,6.02,45.3,93,7569
P0008,Veraval - central,Veraval,Gujarat,20.884874,70.333842,1313,4,4,7,12,Unfurnished,Apartment,148,1,2,8.61,3.25,6.78,18.07,62.4,90,5973
P0009,Ahmedabad - central,Ahmedabad,Gujarat,23.04095,72.552825,859,2,2,1,1,Unfurnished,Independent House,12,1,7,2.73,1.15,9.37,14.28,22.7,87,14518
P0010,Ahmedabad - central,Ahmedabad,Gujarat,23.047896,72.567988,502,1,1,1,1,Furnished,Villa,19,2,8,3.13,1.6,4.6,10.55,38.6,98,8411
P0011,Valsad - central,Valsad,Gujarat,20.596901,72.92998,2345,3,4,1,1,Unfurnished,Independent House,50,1,3,4.93,0.56,3.91,39.49,50.3,147,17709
P0012,Kheda - outskirts,Kheda,Gujarat,22.734149,72.694202,301,1,1,1,1,Semi-Furnished,Villa,14,1,1,7.09,4.07,8.56,10.51,57.5,104,2000
P0013,Anand - central,Anand,Gujarat,22.590341,72.955044,1513,2,2,4,4,Unfurnished,Apartment,115,1,4,8.1,2.58,2.8,9.58,45.3,82,12276
P0014,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.010463,72.581203,730,2,2,2,8,Unfurnished,Apartment,41,2,7,8.5,4.93,9.87,16.35,58.4,82,10905
P0015,Bharuch - central,Bharuch,Gujarat,21.682949,73.024688,1042,2,2,4,8,Unfurnished,Apartment,109,1,2,10.92,0.5,6.42,34.03,60.7,110,7156
P0016,Surat - central,Surat,Gujarat,21.194135,72.813705,758,2,2,1,1,Unfurnished,Independent House,36,1,4,1.95,1.11,3.22,22.47,47.2,35,9503
P0017,Surat - central,Surat,Gujarat,21.180394,72.845203,1056,3,4,1,1,Unfurnished,Independent House,28,1,3,2.29,3.36,1.96,23.11,43.6,57,12702
P0018,Surat - central,Surat,Gujarat,21.164181,72.859969,781,2,3,6,10,Semi-Furnished,Apartment,77,1,5,2.48,2.69,8.67,24.17,38.9,118,10610
P0019,Jamnagar - outskirts,Jamnagar,Gujarat,22.466863,70.058895,1694,2,2,1,1,Furnished,Villa,87,1,5,5.35,7.88,1.33,36.48,51.6,108,12576
P0020,Gandhidham - outskirts,Gandhidham,Gujarat,23.070349,70.145988,1508,2,2,6,8,Unfurnished,Apartment,48,1,1,8.07,2.68,7.03,24.4,58.8,141,7634
P0021,Surat - central,Surat,Gujarat,21.180031,72.838256,270,1,1,1,1,Unfurnished,Independent House,8,1,8,6.23,6.37,9.61,18.4,37.1,65,4244
P0022,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.037558,72.587603,932,2,2,10,10,Unfurnished,Apartment,25,1,8,2.49,5.6,5.04,6.1,39.4,77,15573
P0023,Ahmedabad - central,Ahmedabad,Gujarat,23.046911,72.568155,1352,4,4,4,4,Furnished,Apartment,89,1,10,3.94,6.07,4.54,20.38,48.2,63,23812
P0024,Surat - outskirts,Surat,Gujarat,21.149368,72.813937,264,1,1,1,1,Semi-Furnished,Independent House,7,1,7,2.97,2.75,8.95,2.01,47.2,102,3833
P0025,Rajkot - central,Rajkot,Gujarat,22.306193,70.816278,759,3,3,1,1,Unfurnished,Independent House,8,1,4,5.83,7.55,3.13,9.75,60.8,62,7117
P0026,Gandhidham - outskirts,Gandhidham,Gujarat,23.058504,70.116709,581,2,2,3,9,Unfurnished,Apartment,65,1,1,10.9,4.78,6.7,7.94,35.4,128,3195
P0027,Vadodara - central,Vadodara,Gujarat,22.322454,73.208177,469,2,3,1,1,Semi-Furnished,Independent House,7,0,7,6.57,8.0,3.63,16.25,48.8,56,5803
P0028,Surat - central,Surat,Gujarat,21.194682,72.823618,1019,2,2,7,7,Semi-Furnished,Apartment,82,1,7,9.38,1.39,3.25,14.47,53.3,68,14474
P0029,Ankleshwar - central,Ankleshwar,Gujarat,21.604412,73.007111,268,1,1,2,12,Unfurnished,Apartment,20,0,1,6.49,5.33,0.88,27.66,63.9,109,2000
P0030,Vadodara - outskirts,Vadodara,Gujarat,22.330098,73.165832,676,1,1,1,1,Semi-Furnished,Villa,45,1,4,5.34,5.88,2.83,21.29,48.1,82,7241
P0031,Bhavnagar - outskirts,Bhavnagar,Gujarat,21.763066,72.164611,830,3,3,3,7,Semi-Furnished,Apartment,66,1,2,6.3,1.61,2.57,19.22,43.5,94,5390
P0032,Rajkot - central,Rajkot,Gujarat,22.306052,70.817931,788,2,2,9,10,Semi-Furnished,Apartment,49,1,6,8.49,2.24,2.66,3.02,47.8,103,8561
P0033,Surat - central,Surat,Gujarat,21.185368,72.807255,260,1,1,2,4,Semi-Furnished,Apartment,14,1,7,1.69,0.46,0.73,7.3,54.9,70,3672
P0034,Ahmedabad - central,Ahmedabad,Gujarat,23.025984,72.56637,538,1,1,1,1,Furnished,Independent House,7,1,7,8.3,1.3,8.15,23.73,46.5,89,8389
P0035,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.194992,72.631411,962,3,3,5,9,Semi-Furnished,Apartment,25,1,1,9.2,5.04,2.79,2.03,49.8,129,10063
P0036,Mehsana - central,Mehsana,Gujarat,23.572755,72.358057,1222,3,4,3,6,Unfurnished,Apartment,100,2,2,5.22,4.4,6.55,36.79,53.8,95,7650
P0037,Navsari - central,Navsari,Gujarat,20.966858,72.957312,850,3,4,1,1,Semi-Furnished,Independent House,37,0,2,0.67,3.51,3.36,13.76,73.5,138,5560
P0038,Ankleshwar - outskirts,Ankleshwar,Gujarat,21.584649,73.005799,751,2,3,11,11,Semi-Furnished,Apartment,35,1,1,9.81,7.76,4.81,19.29,51.5,117,4462
P0039,Bhavnagar - outskirts,Bhavnagar,Gujarat,21.761022,72.124997,351,0,1,4,4,Unfurnished,Apartment,35,0,4,10.46,3.75,0.73,23.15,42.1,80,2560
P0040,Surat - central,Surat,Gujarat,21.190129,72.831003,704,3,3,1,1,Unfurnished,Villa,18,1,9,6.72,0.84,9.92,22.82,36.6,85,11567
P0041,Nadiad - central,Nadiad,Gujarat,22.67917,72.849513,788,3,3,4,9,Unfurnished,Apartment,55,2,4,3.46,6.34,4.27,37.7,33.5,101,5919
P0042,Junagadh - outskirts,Junagadh,Gujarat,21.541185,70.451065,673,2,2,7,11,Semi-Furnished,Apartment,35,1,2,6.95,1.95,7.8,6.53,50.0,61,4271
P0043,Anand - outskirts,Anand,Gujarat,22.581492,72.914801,1364,2,2,1,1,Semi-Furnished,Villa,23,1,1,10.94,0.22,1.61,35.48,55.9,102,8973
P0044,Gandhinagar - central,Gandhinagar,Gujarat,23.223625,72.659255,1212,4,4,8,8,Unfurnished,Apartment,28,0,3,7.65,7.38,9.97,18.67,44.8,102,14518
P0045,Rajkot - outskirts,Rajkot,Gujarat,22.301569,70.787439,1000,2,2,2,5,Semi-Furnished,Apartment,76,1,4,1.13,6.98,6.27,6.02,50.7,84,9729
P0046,Surat - central,Surat,Gujarat,21.161738,72.818852,1189,2,2,1,1,Unfurnished,Independent House,36,1,3,5.59,2.49,9.99,21.33,49.2,98,14023
P0047,Mehsana - central,Mehsana,Gujarat,23.608848,72.380451,1093,2,2,3,3,Unfurnished,Apartment,112,1,1,2.92,6.44,2.35,11.65,51.9,145,6485
P0048,Ahmedabad - central,Ahmedabad,Gujarat,23.047343,72.598051,821,3,2,1,5,Unfurnished,Apartment,43,1,7,9.48,7.02,3.79,12.54,39.2,94,13131
P0049,Kheda - central,Kheda,Gujarat,22.76334,72.693574,1395,3,4,6,6,Unfurnished,Apartment,164,2,1,4.52,6.35,0.34,23.78,39.2,117,6491
P0050,Morbi - outskirts,Morbi,Gujarat,22.845856,70.826367,1126,2,2,1,1,Semi-Furnished,Independent House,59,1,1,5.68,5.64,6.56,9.08,56.1,108,5757
P0051,Surat - central,Surat,Gujarat,21.161961,72.859956,605,2,2,1,1,Unfurnished,Independent House,33,1,7,11.28,2.31,6.96,5.43,34.6,89,9174
P0052,Vadodara - outskirts,Vadodara,Gujarat,22.289629,73.164157,813,3,3,2,10,Unfurnished,Apartment,68,1,4,9.48,2.02,1.43,14.11,61.5,109,8295
P0053,Vapi - central,Vapi,Gujarat,20.376222,72.881606,1415,2,2,1,1,Unfurnished,Villa,67,1,4,10.42,1.14,3.71,32.6,50.5,101,12524
P0054,Rajkot - central,Rajkot,Gujarat,22.315066,70.801616,1301,3,3,4,11,Unfurnished,Apartment,31,2,5,6.35,3.72,9.65,1.52,36.0,95,14025
P0055,Palanpur - central,Palanpur,Gujarat,24.17408,72.45783,1378,2,2,9,12,Unfurnished,Apartment,80,1,2,6.17,3.5,7.97,9.0,41.9,64,6749
P0056,Rajkot - outskirts,Rajkot,Gujarat,22.309088,70.805895,257,1,1,5,8,Semi-Furnished,Apartment,9,1,6,10.01,0.84,1.15,18.47,50.8,62,2763
P0057,Vadodara - central,Vadodara,Gujarat,22.322956,73.185646,541,2,3,1,1,Unfurnished,Independent House,28,1,6,2.71,5.29,2.4,2.71,51.4,72,6330
P0058,Gandhidham - outskirts,Gandhidham,Gujarat,23.056112,70.13909,1629,4,4,11,12,Unfurnished,Apartment,76,1,1,3.85,2.78,0.26,35.45,44.2,96,8691
P0059,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.023241,72.56211,990,3,3,2,8,Unfurnished,Apartment,35,1,9,1.16,3.6,4.36,15.18,34.0,88,17582
P0060,Ahmedabad - outskirts,Ahmedabad,Gujarat,23.03472,72.571416,492,2,2,1,12,Furnished,Apartment,24,1,6,3.22,2.69,0.28,18.68,44.4,101,7377
P0061,Surendranagar - outskirts,Surendranagar,Gujarat,22.751286,71.622888,1615,2,2,3,4,Semi-Furnished,Apartment,124,1,2,1.56,0.26,3.38,33.05,39.6,75,7973
P0062,Valsad - central,Valsad,Gujarat,20.608327,72.913461,486,2,3,1,1,Furnished,Independent House,31,0,1,7.67,4.29,2.1,32.17,37.0,154,3418
P0063,Ahmedabad - central,Ahmedabad,Gujarat,23.001557,72.545497,1006,2,2,1,1,Semi-Furnished,Independent House,63,1,8,11.11,4.56,6.43,15.61,49.2,53,16243
P0064,Rajkot - central,Rajkot,Gujarat,22.300884,70.820789,878,2,2,2,3,Unfurnished,Apartment,24,2,5,7.46,4.11,4.73,13.86,51.5,40,8966
P0065,Anand - central,Anand,Gujarat,22.556434,72.953976,673,1,1,1,1,Unfurnished,Independent House,53,0,2,7.82,0.41,7.13,39.68,38.4,98,5004
P0066,Rajkot - outskirts,Rajkot,Gujarat,22.313628,70.779937,843,3,3,5,9,Semi-Furnished,Apartment,88,1,4,1.97,0.74,6.7,22.92,40.6,125,8498
P0067,Nadiad - central,Nadiad,Gujarat,22.708169,72.84312,364,1,1,1,1,Unfurnished,Independent House,29,1,1,8.11,4.12,0.38,15.81,60.7,97,2091
P0068,Diu - central,Diu,Gujarat,20.727175,71.012175,700,2,2,1,1,Unfurnished,Independent House,36,1,3,8.38,5.04,9.05,30.24,62.7,113,5613
P0069,Gandhinagar - outskirts,Gandhinagar,Gujarat,23.234613,72.654976,961,2,2,1,1,Semi-Furnished,Independent House,65,2,2,11.82,3.75,2.96,9.55,23.4,86,11687
P0070,Ahmedabad - central,Ahmedabad,Gujarat,23.013475,72.543,385,1,1,1,1,Unfurnished,Independent House,11,1,5,10.88,1.26,4.49,23.66,41.9,106,5546
P0071,Ahmedabad - central,Ahmedabad,Gujarat,23.007855,72.591498,1015,3,3,3,4,Unfurnished,Apartment,34,2,10,8.41,1.2,7.11,11.22,44.1,80,18137
P0072,Junagadh - outskirts,Junagadh,Gujarat,21.509976,70.427994,708,3,3,4,6,Unfurnished,Apartment,58,0,2,10.07,4.05,5.45,27.12,36.3,82,4713
P0073,Vadodara - central,Vadodara,Gujarat,22.314895,73.19749,1128,3,3,9,11,Semi-Furnished,Apartment,66,1,6,11.78,2.1,0.36,19.71,36.9,125,13886
P0074,Nadiad - central,Nadiad,Gujarat,22.664714,72.887602,1383,4,4,1,1,Semi-Furnished,Independent House,81,2,2,0.94,6.23,4.69,15.27,58.4,108,8514
P0075,Jamnagar - outskirts,Jamnagar,Gujarat,22.482224,70.049741,605,1,1,1,1,Furnished,Independent House,33,1,2,5.36,3.26,4.51,38.48,47.1,114,3880
P0076,Gandhidham - central,Gandhidham,Gujarat,23.050141,70.153302,1265,3,3,1,1,Semi-Furnished,Independent House,41,0,1,8.0,2.52,6.11,19.91,50.1,85,6609
P0077,Vadodara - outskirts,Vadodara,Gujarat,22.313506,73.191944,728,2,2,3,8,Unfurnished,Apartment,24,1,8,0.61,0.63,7.83,9.16,36.4,113,9832
P0078,Ankleshwar - central,Ankleshwar,Gujarat,21.634918,72.993111,942,3,3,1,6,Furnished,Apartment,36,2,1,1.59,6.22,7.1,12.51,41.8,82,5792
P0079,Ahmedabad - central,Ahmedabad,Gujarat,23.01419,72.554854,1195,2,3,1,1,Unfurnished,Villa,67,1,9,3.63,2.47,1.74,17.74,38.1,65,20929
